"name","summary","image_path","category","ingredients","instructions"
"Курица, тушенная в кисло-сладком соусе","На приготовление курицы с овощами по-китайски требуется совсем немного времени.","1.jpeg","Китайская кухня","Куриное филе - 2 шт. (500 г)
Перец сладкий - 1 шт. (150 г)
Морковь - 1 шт. (100 г)
Кетчуп томатный - 100 г
Перец острый молотый - 0,5 ч. ложки
или перец острый свежий - 0,5 шт. (по вкусу)
Сахар - 1 ст. ложка
Крахмал кукурузный - 1 ст. ложка
Соевый соус - 3 ст. ложки
Масло растительное - 1 ст. ложка
Имбирь свежий (корень) - 10 г
Кунжут (семена) - 1 ч. ложка","1)Подготовьте все необходимые ингредиенты.
Блюдо готовится быстро, поэтому всё должно быть под рукой.
Вместо острого молотого перца можно взять свежий острый перец. Вымойте, очистите и нарежьте его колечками.
2)Куриное филе нарежьте небольшими кубиками размером примерно 2х2 см.
3)Сладкий перец очистите от семян и хвостика и нарежьте кусочками примерно такого же размера, как и куриное филе. Морковь очистите и нарежьте полукружиями.
4)Разогрейте в сковороде с толстым дном или сотейнике растительное масло. Обжарьте на нём куриное филе на сильном огне до выпаривания жидкости, примерно 7-8 минут.
5)Добавьте в сковороду морковь и перец, обжарьте всё вместе на среднем огне ещё 5-7 минут, помешивая.
6)Имбирь натрите на мелкой тёрке.Добавьте в сковороду острый молотый перец (или колечки острого перца) и имбирь. Переложите в сковороду томатный кетчуп, перемешайте.
7)Переложите в сковороду томатный кетчуп, перемешайте. Добавьте соевый соус, перемешайте и тушите на среднем огне 5-7 минут.
Такое блюдо из курицы замечательно сочетается с отварным рисом. Нежные кусочки куриного филе и сочные овощи в оригинальном кисло-сладком соусе с остринкой - идеально!"


"Китайский томатный суп с яйцами","Чтобы разнообразить обеденное меню, приготовьте этот оригинальный китайский пряный суп из помидоров с яйцами.","2.jpg","Китайская кухня","Куриные голени - 5 шт.
Корень имбиря - 1 кусочек (5 см)
Лук репчатый - 1 шт.
Чеснок - 3-4 зубчика
Морковь - 1 шт.
Яйца - 2 шт.
Соль - по вкусу
Перец черный молотый - по вкусу
Лук зеленый - 5-6 перышек
Вода - 1,5 л
Для томатной заправки:
Помидоры - 2 шт.
Корень имбиря - 1 кусочек (5 см)
Соус соевый - 3 ст. ложки
Масло кунжутное (темное) - 1 ст. ложка
Масло подсолнечное - 2 ст. ложки
Перец черный молотый - 1 щепотка
Соль - 1 щепотка
Сахар - 2 щепотки","1)Подготавливаем необходимые продукты.Вместо куриных голеней можно взять любые части курицы, кроме грудки, т.к. она не даст необходимого насыщенного бульона.
2)Части курицы в кастрюле заливаем холодной водой и ставим на огонь. Доводим воду до кипения и варим курицу на минимальном огне без соли и специй 5 минут.
3)Пока варится курица, очищаем лук, морковь и корень имбиря для бульона.Лук и морковь нарезаем крупными кусочками.Корень имбиря нарезаем тонкими кружочками.
4)Разогреваем сухую сковороду, выкладываем туда нарезанные лук с морковью и обжариваем до тех пор, пока их края не начнут слегка обугливаться. Корень имбиря обжаривать не нужно.
5)Спустя 5 минут после варки курицы сливаем воду из кастрюли.Снова заливаем курицу 1,5 л чистой холодной воды и ставим на огонь. Доводим воду до кипения и добавляем обжаренные лук с морковью. Затем добавляем кружочки имбиря, соль и черный молотый перец. Уменьшаем огонь и варим бульон на маленьком огне в течение 1 часа.
6)Выкладываем нарезанные помидоры в сковороду к чесноку с имбирём. Добавляем соевый соус, соль, сахар и черный молотый перец. Чтобы усилить аромат, можно взять перец горошком и самостоятельно смолоть с помощью мельнички для специй.
Тушим томатную заправку для супа до густоты и мягкости помидоров. Пробуем на вкус, при необходимости добавляем еще соли и перца. Выключаем огонь.
7)Из готового бульона достаём куриное мясо. Бульон процеживаем, возвращаем в кастрюлю и ставим на огонь. Добавляем томатную заправку, доводим бульон до кипения и варим 2-3 минуты.С помощью вилки взбиваем яйца в тарелке.
8)Затем, постоянно помешивая кипящий бульон, тонкой струйкой вливаем в кастрюлю взбитые яйца. В результате сырые яйца в кипящем супе схватываются белыми нитями.
9)Разливаем томатный суп с яйцами по тарелкам. В тарелку с супом кладём немного нарезанного зелёного лука.
В каждую порцию супа при подаче можно добавить вареное куриное мясо, тогда обед будет сытнее. Суп можно подать как в горячем, так и в холодном виде."

"Баклажаны по-китайски","Вкуснейшие баклажаны, приготовленные в азиатском стиле, с чесноком, острым перцем и соевым соусом.","3.jpg","Китайская кухня","Баклажаны – 2 шт.
Чеснок – 3 зубчика
Лук зеленый – 2-3 стебля
Перец острый – 0,25 шт.
Крахмал – 2 ст. л.
Соевый соус – 3 ст. л.
Вода кипяченая – 100 мл
Кунжут
Масло подсолнечное","1)Подготовить продукты для приготовления баклажанов по-китайски.
2)Баклажаны нарезать небольшими брусочками, примерно 5-6 см в длину и 1-2 см в сечении.
3)Сложить баклажаны в пакет, добавить крахмал. Закрыть пакет и хорошо его встряхнуть. Баклажаны покроются равномерным слоем крахмала.
4)Измельчить чеснок ножом или выдавить через пресс.Мелко нарезать острый перец.
5)Приготовить соус из чеснока, острого перца, воды и соевого соуса.Подготовить зеленый лук. Нарезать его не сильно мелко.
6)Баклажаны обжарить со всех сторон на небольшом количестве подсолнечного масла. Обжаривать порциями, выкладывая баклажаны в один слой.
7)Обжаренные баклажаны вернуть в сковороду и добавить к ним соус. Хорошо, но аккуратно перемешать.
8)Накрыть крышкой на 2-3 минутки. Соус впитается и его практически не станет. Это нормально.
Выложить баклажаны на тарелку, посыпать кунжутом (по желанию) и добавить зеленый лук. Вкуснейшая закуска из баклажанов готова."

"Фунчоза с грибами,перцем и морковью","Благодаря моркови и болгарскому перцу блюдо получается довольно ярким и сочным.","4.png","Китайская кухня","Фунчоза - 100 г
Шампиньоны - 250 г
Перец болгарский красный - 80 г (0,25 шт.)
Морковь - 80 г (0,5 шт.)
Лук репчатый - 70 г (0,5 шт.)
Чеснок - 2 зубчика
Соевый соус - 40 мл
Имбирь молотый - 0,5 ч. ложки
Сахар - 0,5 ч. ложки
Соль - щепотка (по вкусу)
Перец чёрный молотый - щепотка (по вкусу)
Масло растительное - 30 мл (2 ст. ложки)
Для подачи (по желанию):
Кунжут (семена) - 0,5 ч. ложки
Зелень петрушки - 1 веточка","1)Подготовить все продукты по списку.Отдельно любым способом довести до кипения воду (200-350 мл).
2)Фунчозу выложить в миску или кастрюлю, залить кипятком и оставить на 5 минут (или согласно времени, указанному на упаковке).
3)Спустя 5 минут воду слить, фунчозу промыть холодной водой и на время отставить в сторону.
4)Очищенную морковь натереть на тёрке для корейской моркови.
5)Сладкий перец, очищенный от семян с внутренними перегородками, нарезать тонкими полосками.
6)В сковороде разогреть растительное масло, выложить туда лук, морковь, чеснок и перец. Обжарить овощи, помешивая, на среднем огне, 4 минуты.
7)Шампиньоны промыть и обсушить (можно протереть грибы влажными кухонными полотенцами). Нарезать грибы тонкими пластинами.
8)Добавить в сковороду грибы.Обжаривать ещё 5 минут, помешивая, чтобы овощи и грибы не пригорели.Добавить в сковороду сахар, имбирь, соль и перец по вкусу.
9)Влить соевый соус. Готовить всё 2-3 минуты.Затем добавить в сковороду фунчозу.Перемешать все ингредиенты двумя вилками или лопатками и прогреть пару минут.
При желании посыпать блюдо кунжутом и мелко нарезанной свежей зеленью. Получилось очень вкусно."

"Пирожки с картошкой по-китайски","Вкусный новый рецепт, который попробуем повторить у себя на кухне. Еще один вариант пирожков с картошкой.","5.jpg","Китайская кухня","Для теста:
Мука - 540 г
Вода (теплая) - 210 мл
Дрожжи сухие - 1 ч. ложка
Соль - 1 ч. ложка
Сахар - 1 ч. ложка
Масло растительное - 40 мл + для смазывания заготовок
Для начинки:
Картофель - 5 шт.
Грудинка (бекон) - 100 г
Лук репчатый - 1 шт.
Зелень укропа - по вкусу
Соль - по вкусу
Перец черный молотый - по вкусу","1)Для начала подготавливаем всё для теста.
2)В теплую воду добавляем ложку муки, дрожжи и сахар. Перемешиваем и даём постоять минут 10.
3)После чего вливаем в муку воду с дрожжами, добавляем соль и растительное масло. Замешиваем мягкое тесто.Готовое тесто накрываем в чашке пленкой и убираем в теплое место на 1 час. За это время спокойно приготовим начинку.
4)Грудинку (бекон) режем на тонкие пластинки и обжариваем на сковороде с растительным маслом. Готовые кусочки бекона нарезаем тонкой соломкой.
5)Картофель натираем на терке тонкой соломкой. Промываем тёртый картофель холодной водой и хорошо отжимаем.В чашку с картошкой натираем лук на крупной терке. Добавляем соль и черный перец.
6)Туда же добавляем грудинку и нарезанную зелень укропа. Перемешиваем, и начинка для пирожков готова.
7)Тесто делим на 8 частей. Смазываем каждую заготовку растительным маслом и даём постоять под пленкой 10 минут.
8)Теперь раскатываем тесто в хорошую лепешку. Выкладываем начинку, по 1,5-2 ст. ложки на каждую лепешку.
9)Формируем пирожки с картошкой. Напоминают чебуреки, только картофельной начинки много.
10)Обжариваем пирожки с картошкой в разогретом растительном масле. Одну сторону - на среднем огне, а когда перевернем - убавляем огонь до минимума, накрываем крышкой и жарим пирожки до готовности.
Большие и вкусные пирожки! В начинке всё отлично сочетается: картошечка пропарилась, грудинка, укроп и черный перец - очень вкусно!"

